,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NS,15,12,11,13,15,13,9,8,11,12,8,11,5,9,11,6,11,13,12,19,12,18,10,15,12,14,11,10,18,15,16,18,8,5,16,13,8,12,13,15,16,11,8,10,10,21,13,9,14,15,18,17,14,20,16,31,11,17,17,11,21,20,19,15,9,12
NH,11,7,6,7,6,10,5,3,7,7,4,8,2,8,6,3,7,7,4,11,4,7,3,4,4,6,5,6,5,5,8,8,2,3,4,8,3,4,5,7,7,4,4,5,2,11,9,4,9,8,9,8,5,7,9,15,5,6,7,3,12,8,10,2,6,3
