Name,State,Saffir-Simpson,Date of closest approach,Year
Unnamed,Florida,Category 1 hurricane,4-Sep,1915
Unnamed,Florida,Category 2 hurricane,5-Jul,1916
Unnamed,Florida,Category 2 hurricane,18-Oct,1916
Unnamed,Florida,Category 3 hurricane,29-Sep,1917
Unnamed,Florida,Category 4 hurricane,10-Sep,1919
Unnamed,Florida,Category 3 hurricane,25-Oct,1921
Unnamed,Florida,Category 1 hurricane,15-Sep,1924
Unnamed,Florida,Category 1 hurricane,21-Oct,1924
Unnamed,Florida,Category 2 hurricane,27-Jul,1926
Unnamed,Florida,Category 4 hurricane,18-Sep,1926
Unnamed,Florida,Category 1 hurricane,21-Oct,1926
,Florida,,,
Unnamed,Florida,Category 2 hurricane,8-Aug,1928
Unnamed,Florida,Category 4 hurricane,17-Sep,1928
Unnamed,Florida,Category 3 hurricane,28-Sep,1929
Unnamed,Florida,Category 1 hurricane,1-Sep,1932
Unnamed,Florida,Category 1 hurricane,30-Jul,1933
Unnamed,Florida,Category 3 hurricane,4-Sep,1933
"""Labor Day""",Florida,Category 5 hurricane,3-Sep,1935
Unnamed,Florida,Category 2 hurricane,4-Nov,1935
Unnamed,Florida,Category 2 hurricane,31-Jul,1936
Unnamed,Florida,Category 1 hurricane,11-Aug,1939
Unnamed,Florida,Category 2 hurricane,6-Oct,1941
Unnamed,Florida,Category 4 hurricane,19-Oct,1944
Unnamed,Florida,Category 1 hurricane,24-Jun,1945
Unnamed,Florida,Category 3 hurricane,15-Sep,1945
Unnamed,Florida,Category 1 hurricane,8-Oct,1946
Unnamed,Florida,Category 4 hurricane,17-Sep,1947
Unnamed,Florida,Category 1 hurricane,11-Oct,1947
Unnamed,Florida,Category 4 hurricane,21-Sep,1948
Unnamed,Florida,Category 2 hurricane,5-Oct,1948
Unnamed,Florida,Category 4 hurricane,26-Aug,1949
Easy,Florida,Category 3 hurricane,5-Sep,1950
King,Florida,Category 4 hurricane,18-Oct,1950
Florence,Florida,Category 1 hurricane,26-Sep,1953
Hazel,Florida,Category 1 hurricane,9-Oct,1953
Flossy,Florida,Category 1 hurricane,24-Sep,1956
Donna,Florida,Category 4 hurricane,10-Sep,1960
Cleo,Florida,Category 2 hurricane,27-Aug,1964
Dora,Florida,Category 2 hurricane,10-Sep,1964
Isbell,Florida,Category 2 hurricane,14-Oct,1964
Betsy,Florida,Category 3 hurricane,8-Sep,1965
Alma,Florida,Category 2 hurricane,9-Jun,1966
Inez,Florida,Category 1 hurricane,8-Oct,1966
Gladys,Florida,Category 2 hurricane,19-Oct,1968
Agnes,Florida,Category 1 hurricane,19-Jun,1972
Eloise,Florida,Category 3 hurricane,23-Sep,1975
David,Florida,Category 2 hurricane,3-Sep,1979
Elena,Florida,Category 3 hurricane,1-Sep,1985
Kate,Florida,Category 2 hurricane,21-Nov,1985
Floyd,Florida,Category 1 hurricane,12-Oct,1987
Andrew,Florida,Category 5 hurricane,24-Aug,1992
Erin,Florida,Category 2 hurricane,3-Aug,1995
Opal,Florida,Category 3 hurricane,4-Oct,1995
Earl,Florida,Category 1 hurricane,3-Sep,1998
Georges,Florida,Category 2 hurricane,25-Sep,1998
Irene,Florida,Category 1 hurricane,15-Oct,1999
Charley,Florida,Category 4 hurricane,13-Aug,2004
Frances,Florida,Category 2 hurricane,5-Sep,2004
Ivan,Florida,Category 3 hurricane,16-Sep,2004
Jeanne,Florida,Category 3 hurricane,26-Sep,2004
Dennis,Florida,Category 3 hurricane,10-Jul,2005
Katrina,Florida,Category 1 hurricane,25-Aug,2005
Rita,Florida,Category 1 hurricane,20-Sep,2005
,Florida,,,
Wilma,Florida,Category 3 hurricane,24-Oct,2005
Hermine,Florida,Category 1 hurricane,2-Sep,2016
Matthew,Florida,Category 2 hurricane,7-Oct,2016
,Florida,,,
Irma,Florida,Category 4 hurricane,10-Sep,2017
Michael,Florida,Category 5 hurricane,10-Oct,2018
